                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.4249,                0.92517,                 1.3736,                 1.5447,                0.96732,                 1.3357,                0.81234,                0.80666,                0.88351,                0.55544,                 1.2402,                 0.7979,                 1.2634,                 1.3091,                0.74738,                 1.2394,               0.001802,               0.001802,               0.001802
                     63,                  1.374,                0.86714,                 1.3412,                 1.4824,                0.90655,                 1.2944,                0.81109,                0.83027,                0.88343,                0.56914,                 1.1473,                0.76907,                 1.1989,                 1.2387,                0.73924,                 1.1755,              0.0017987,              0.0017987,              0.0017987
                     64,                 1.3848,                0.88247,                 1.3647,                 1.5024,                0.94896,                 1.3214,                0.79591,                0.84689,                0.88998,                0.58442,                 1.1771,                0.73447,                 1.2135,                 1.2358,                 0.7019,                 1.1991,              0.0017954,              0.0017954,              0.0017954
                     65,                 1.4035,                0.87067,                  1.352,                 1.4886,                0.88429,                 1.2949,                0.79695,                0.87489,                0.90704,                0.56872,                 1.2088,                0.78215,                 1.2291,                 1.3328,                0.73958,                 1.2345,              0.0017921,              0.0017921,              0.0017921
                     66,                 1.3614,                0.86295,                  1.346,                 1.4936,                0.88894,                 1.3112,                0.81115,                 0.8259,                0.89083,                0.56915,                 1.2312,                0.73748,                 1.2226,                 1.2826,                0.67539,                 1.2023,              0.0017888,              0.0017888,              0.0017888
                     67,                 1.3424,                0.85459,                 1.3155,                 1.4641,                0.88265,                 1.2759,                0.82002,                0.84864,                0.89856,                0.58346,                 1.2054,                0.74826,                 1.2114,                 1.2692,                0.67797,                 1.2042,              0.0017855,              0.0017855,              0.0017855
                     68,                 1.3954,                0.85665,                 1.3362,                 1.5018,                0.88686,                 1.2816,                0.82571,                0.84952,                0.90123,                0.59546,                 1.1295,                0.76142,                 1.1692,                  1.211,                 0.6774,                 1.1588,              0.0017822,              0.0017822,              0.0017822
                     69,                  1.348,                0.84711,                 1.3052,                 1.4868,                0.90798,                 1.2856,                0.83589,                0.85564,                0.91227,                0.61614,                 1.1029,                0.71929,                 1.1527,                 1.1755,                0.64396,                  1.154,              0.0017789,              0.0017789,              0.0017789
                     70,                 1.3547,                0.81889,                 1.2773,                 1.4487,                0.83677,                 1.2519,                0.82517,                0.85739,                0.90898,                0.60536,                 1.1406,                0.74338,                 1.1738,                 1.1866,                0.68032,                 1.1674,              0.0017756,              0.0017756,              0.0017756
                     71,                 1.3491,                0.85531,                 1.3163,                 1.4897,                0.88188,                 1.2833,                0.80844,                0.86527,                0.90491,                0.60106,                 1.1321,                 0.7378,                 1.1877,                 1.1827,                0.65298,                 1.1727,              0.0017723,              0.0017723,              0.0017723
                     72,                 1.3061,                0.81487,                 1.2815,                 1.4332,                0.86694,                 1.2678,                0.84048,                0.84817,                0.91274,                0.60445,                 1.1304,                0.71735,                  1.178,                 1.2261,                0.65212,                 1.1753,               0.001769,               0.001769,               0.001769
                     73,                 1.3066,                0.82235,                  1.285,                 1.4476,                0.88631,                 1.2727,                0.82904,                0.85701,                0.90751,                0.59264,                 1.1448,                0.73728,                 1.1788,                 1.2118,                0.67719,                 1.1808,              0.0017657,              0.0017657,              0.0017657
                     74,                  1.304,                0.81693,                 1.3149,                 1.4106,                0.85499,                 1.2971,                0.82552,                0.86702,                0.91534,                0.60442,                 1.1641,                 0.7109,                 1.1894,                 1.2314,                0.62714,                 1.1643,              0.0017624,              0.0017624,              0.0017624
                     75,                 1.2569,                0.77086,                 1.2238,                 1.3922,                0.79895,                  1.214,                0.84063,                0.86757,                0.92222,                0.62599,                 1.1033,                0.67336,                 1.1621,                 1.1306,                0.59677,                 1.1504,              0.0017591,              0.0017591,              0.0017591
                     76,                 1.2768,                0.78807,                 1.2716,                 1.3854,                0.79795,                 1.2488,                0.83039,                0.87139,                0.91823,                0.62122,                 1.0755,                0.67852,                 1.1344,                 1.1432,                0.60162,                 1.1274,              0.0017558,              0.0017558,              0.0017558
                     77,                 1.2688,                0.77871,                   1.27,                 1.3922,                0.82173,                 1.2384,                0.85019,                0.85827,                0.92206,                0.59665,                 1.2006,                0.68324,                 1.1849,                  1.295,                0.60845,                 1.1744,              0.0017525,              0.0017525,              0.0017525
                     78,                 1.3408,                0.80505,                 1.2945,                 1.4464,                0.83384,                 1.2709,                0.84484,                0.85739,                 0.9103,                0.60466,                  1.116,                0.69027,                 1.1528,                 1.1988,                0.61574,                 1.1593,              0.0017492,              0.0017492,              0.0017492
                     79,                  1.282,                0.78884,                 1.2598,                 1.4296,                0.81987,                 1.2421,                0.84931,                0.85801,                 0.9282,                0.63723,                 1.0717,                0.66622,                 1.1288,                 1.1166,                0.57911,                 1.1135,              0.0017459,              0.0017459,              0.0017459
                     80,                 1.2572,                0.78105,                 1.2422,                 1.4147,                 0.8109,                  1.234,                 0.8255,                0.87489,                0.91432,                0.59009,                 1.1756,                0.70915,                    1.2,                 1.2306,                0.64816,                 1.1723,              0.0017426,              0.0017426,              0.0017426
                     81,                 1.3171,                0.80125,                 1.2815,                 1.4339,                0.84221,                 1.2642,                0.82878,                0.90201,                0.92356,                0.61894,                 1.1052,                0.70324,                 1.1473,                 1.1798,                0.62552,                 1.1369,              0.0017393,              0.0017393,              0.0017393
                     82,                 1.2757,                0.79039,                 1.2579,                  1.391,                 0.8143,                 1.2273,                0.80962,                0.88924,                0.92076,                0.62439,                 1.0568,                0.68513,                 1.1331,                 1.1288,                0.61504,                 1.1105,               0.001736,               0.001736,               0.001736
                     83,                 1.2852,                0.77071,                 1.2599,                 1.4364,                0.78531,                  1.241,                0.84986,                0.87654,                0.92432,                0.63766,                  1.034,                0.64475,                  1.115,                 1.1161,                0.57907,                 1.1002,              0.0017327,              0.0017327,              0.0017327
                     84,                 1.1833,                0.74168,                  1.233,                 1.3126,                0.75949,                 1.2268,                0.85143,                 0.8399,                0.92184,                0.64263,                  1.039,                0.66137,                 1.1107,                 1.0978,                0.58047,                 1.1059,              0.0017294,              0.0017294,              0.0017294
                     85,                 1.2077,                0.76676,                 1.2355,                 1.3524,                 0.8048,                 1.2262,                0.85001,                0.87139,                0.93029,                0.65001,                0.99419,                0.66406,                 1.0874,                 1.0643,                0.59424,                 1.0822,              0.0017261,              0.0017261,              0.0017261
                     86,                 1.1593,                0.72674,                 1.2178,                 1.2982,                0.74771,                 1.2128,                0.85445,                0.88339,                0.93617,                0.66238,                0.99039,                0.62225,                 1.0959,                 1.0455,                0.54559,                 1.0875,              0.0017228,              0.0017228,              0.0017228
                     87,                 1.1896,                 0.7407,                 1.2111,                 1.3297,                0.75107,                 1.1945,                  0.833,                0.88889,                0.93482,                0.67604,                0.96286,                0.60928,                 1.0814,                 1.0037,                0.55761,                  1.065,              0.0017195,              0.0017195,              0.0017195
                     88,                 1.2046,                0.73513,                 1.2033,                 1.3244,                0.74762,                 1.2002,                0.84575,                0.88262,                0.93206,                0.65724,                0.98764,                0.67065,                 1.0745,                 1.0603,                0.59939,                 1.0766,              0.0017162,              0.0017162,              0.0017162
                     89,                 1.1737,                0.76093,                 1.2285,                 1.3007,                0.78487,                  1.214,                0.84009,                0.87327,                0.93311,                0.66706,                0.98603,                 0.6433,                 1.0834,                 1.0201,                0.57719,                 1.0721,              0.0017129,              0.0017129,              0.0017129
                     90,                 1.1932,                0.75612,                 1.2207,                 1.3307,                0.77196,                 1.2135,                0.86436,                0.86973,                0.93191,                0.66157,                0.98866,                0.60103,                 1.0856,                 1.0462,                0.56017,                 1.0829,              0.0017096,              0.0017096,              0.0017096
                     91,                 1.1521,                0.72987,                 1.2527,                 1.2713,                0.76132,                 1.2503,                0.87835,                0.86352,                0.93883,                0.66285,                 0.9985,                0.62807,                 1.0854,                 1.0539,                0.55452,                 1.0784,              0.0017063,              0.0017063,              0.0017063
                     92,                 1.1557,                0.70955,                 1.1898,                 1.2901,                0.70816,                  1.171,                0.87088,                0.90287,                0.94321,                0.68973,                0.93026,                0.59879,                 1.0625,                0.98299,                0.51599,                 1.0576,               0.001703,               0.001703,               0.001703
                     93,                 1.1738,                 0.7258,                 1.1891,                 1.3169,                0.73572,                 1.1852,                0.87436,                0.86455,                 0.9407,                0.66804,                 1.0053,                0.61225,                 1.0801,                 1.0717,                0.52742,                 1.0769,              0.0016997,              0.0016997,              0.0016997
