                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.76139,                0.53574,                0.93071,                0.94483,                0.97437,                0.97979,                0.79406,                0.87902,                0.63939,                 1.1327,              0.0093994,              0.0093994,              0.0093994
                     93,                0.74149,                0.52852,                0.93408,                0.96426,                0.97289,                0.98646,                0.80639,                0.83278,                0.58857,                 1.1046,              0.0093928,              0.0093928,              0.0093928
                     94,                0.77008,                0.53496,                0.93574,                 0.9644,                0.95913,                0.97545,                0.78536,                0.95046,                0.66544,                 1.2236,              0.0093862,              0.0093862,              0.0093862
                     95,                0.76418,                0.52485,                0.93044,                0.94106,                0.97225,                0.96195,                0.78884,                0.85084,                0.66278,                 1.1148,              0.0093796,              0.0093796,              0.0093796
                     96,                0.77466,                0.52402,                0.93242,                0.92177,                0.95673,                0.96278,                0.77537,                 0.8503,                0.69568,                   1.12,               0.009373,               0.009373,               0.009373
                     97,                0.76756,                0.53113,                0.93981,                0.94849,                0.97374,                0.98039,                 0.8017,                0.82542,                0.62584,                 1.1082,              0.0093664,              0.0093664,              0.0093664
                     98,                0.76766,                0.52283,                0.92185,                0.96519,                0.96875,                0.97933,                0.80474,                0.82235,                0.60758,                 1.1115,              0.0093598,              0.0093598,              0.0093598
                     99,                0.76406,                0.53024,                0.93271,                0.94454,                0.98237,                0.98059,                 0.8051,                 0.8338,                0.61935,                 1.1137,              0.0093532,              0.0093532,              0.0093532
                    100,                0.76778,                0.52366,                 0.9317,                0.94457,                0.97676,                0.97607,                0.79151,                0.85067,                0.61173,                 1.1304,              0.0093466,              0.0093466,              0.0093466
                    101,                0.73445,                0.51475,                0.92094,                0.93843,                0.95261,                0.97263,                0.76544,                0.95901,                 0.6922,                 1.2019,                0.00934,                0.00934,                0.00934
                    102,                0.72436,                0.51108,                0.92048,                0.93976,                0.96394,                0.97812,                0.79565,                0.84225,                0.67206,                 1.1284,              0.0093334,              0.0093334,              0.0093334
                    103,                0.73981,                0.52347,                0.92614,                0.97426,                0.96554,                0.99055,                0.81877,                0.79294,                0.57499,                  1.087,              0.0093268,              0.0093268,              0.0093268
                    104,                0.73382,                0.51175,                0.91778,                0.97101,                 0.9661,                0.98597,                 0.8114,                0.84528,                0.57383,                 1.1529,              0.0093202,              0.0093202,              0.0093202
                    105,                 0.7422,                0.52232,                0.92543,                0.95357,                0.97093,                0.98203,                0.81029,                0.81799,                0.56086,                 1.1042,              0.0093136,              0.0093136,              0.0093136
                    106,                0.73116,                0.51221,                0.92579,                0.97194,                0.97356,                0.98719,                0.81394,                0.79144,                0.56223,                 1.0971,               0.009307,               0.009307,               0.009307
                    107,                  0.734,                0.51591,                 0.9176,                0.95225,                 0.9587,                0.98027,                 0.7952,                0.89831,                0.63081,                 1.2089,              0.0093004,              0.0093004,              0.0093004
                    108,                0.73867,                0.50878,                0.92557,                0.96806,                0.96955,                0.98459,                  0.814,                0.79198,                0.54763,                 1.0934,              0.0092938,              0.0092938,              0.0092938
                    109,                0.73908,                0.51076,                0.92312,                0.93495,                0.97897,                0.98124,                0.80894,                0.79629,                0.60347,                 1.0996,              0.0092872,              0.0092872,              0.0092872
                    110,                0.71738,                0.49127,                0.91391,                0.97179,                0.96715,                0.98644,                0.81953,                0.78985,                0.54484,                 1.0684,              0.0092806,              0.0092806,              0.0092806
                    111,                0.72872,                0.49823,                0.91477,                0.97466,                0.97276,                0.98795,                0.82315,                 0.7685,                0.53553,                 1.0641,               0.009274,               0.009274,               0.009274
                    112,                0.70083,                0.48519,                0.90451,                0.97198,                  0.973,                0.98733,                0.82805,                0.75124,                0.55174,                 1.0569,              0.0092674,              0.0092674,              0.0092674
                    113,                0.69331,                0.48625,                0.90354,                0.95203,                0.98558,                0.98419,                0.81623,                0.76098,                0.56631,                  1.068,              0.0092608,              0.0092608,              0.0092608
                    114,                0.71883,                0.49517,                0.91505,                 0.9673,                0.97171,                0.99057,                 0.8228,                0.78528,                0.54491,                 1.0588,              0.0092542,              0.0092542,              0.0092542
                    115,                0.71498,                 0.4958,                0.91323,                0.96593,                0.97677,                0.98861,                0.82591,                0.75258,                0.54777,                 1.0502,              0.0092476,              0.0092476,              0.0092476
                    116,                0.71264,                0.49228,                0.90452,                0.98298,                0.97997,                0.98912,                0.82632,                0.77367,                0.55216,                  1.074,               0.009241,               0.009241,               0.009241
                    117,                0.71951,                0.50067,                0.91635,                0.96983,                0.97876,                0.98519,                0.82804,                0.78817,                0.53593,                 1.1204,              0.0092344,              0.0092344,              0.0092344
                    118,                0.73127,                0.50335,                0.92141,                0.96401,                0.97837,                0.98641,                0.82814,                0.75525,                0.55146,                 1.0705,              0.0092278,              0.0092278,              0.0092278
                    119,                0.73553,                0.49763,                0.91177,                0.96671,                0.98237,                0.98942,                 0.8319,                0.74151,                0.56803,                  1.056,              0.0092212,              0.0092212,              0.0092212
                    120,                0.69758,                0.48755,                0.91534,                0.94646,                0.97742,                0.98352,                0.82482,                0.77058,                0.57879,                 1.0821,              0.0092146,              0.0092146,              0.0092146
                    121,                0.69232,                 0.4809,                0.90872,                0.96315,                0.97356,                0.98553,                0.84222,                0.72101,                0.53752,                  1.048,               0.009208,               0.009208,               0.009208
                    122,                0.68059,                0.46621,                0.89866,                0.97679,                0.96955,                0.98903,                0.83844,                0.71299,                0.50823,                 1.0503,              0.0092014,              0.0092014,              0.0092014
