                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.59014,                0.39372,                0.84012,                      1,                0.99938,                  0.995,                0.89949,                0.49627,                0.35641,                 0.8131,              0.0014951,              0.0014951,              0.0014951
                    104,                0.63441,                0.40685,                0.82701,                0.99997,                      1,                  0.995,                0.90198,                0.49836,                0.34752,                0.81215,              0.0014901,              0.0014901,              0.0014901
                    105,                0.60304,                0.39191,                 0.8081,                0.99997,                      1,                  0.995,                0.90198,                0.49836,                0.34752,                0.81215,              0.0014852,              0.0014852,              0.0014852
                    106,                0.65872,                0.40907,                0.83056,                0.99925,                      1,                  0.995,                0.88602,                0.52649,                0.35936,                0.81285,              0.0014803,              0.0014803,              0.0014803
                    107,                0.63877,                0.41242,                 0.8293,                0.99925,                      1,                  0.995,                0.88602,                0.52649,                0.35936,                0.81285,              0.0014753,              0.0014753,              0.0014753
                    108,                0.61352,                0.39551,                0.80357,                0.99886,                      1,                  0.995,                0.89018,                0.51772,                0.34602,                0.81184,              0.0014703,              0.0014703,              0.0014703
                    109,                0.64608,                0.39683,                0.83823,                0.99886,                      1,                  0.995,                0.89018,                0.51772,                0.34602,                0.81184,              0.0014654,              0.0014654,              0.0014654
                    110,                0.65931,                 0.4066,                0.83734,                0.99891,                      1,                  0.995,                0.89975,                0.49475,                 0.3355,                0.81166,              0.0014605,              0.0014605,              0.0014605
                    111,                0.56958,                0.39187,                0.82404,                0.99891,                      1,                  0.995,                0.89975,                0.49475,                 0.3355,                0.81166,              0.0014555,              0.0014555,              0.0014555
                    112,                0.62027,                0.40006,                0.82969,                0.99916,                      1,                  0.995,                0.90699,                0.47868,                0.33058,                0.81092,              0.0014505,              0.0014505,              0.0014505
                    113,                0.51717,                0.35681,                0.79275,                0.99916,                      1,                  0.995,                0.90699,                0.47868,                0.33058,                0.81092,              0.0014456,              0.0014456,              0.0014456
                    114,                0.64383,                0.41407,                0.82962,                0.99868,                      1,                  0.995,                0.89733,                0.49412,                0.34408,                0.81306,              0.0014406,              0.0014406,              0.0014406
                    115,                0.66698,                0.40746,                0.82721,                0.99868,                      1,                  0.995,                0.89733,                0.49412,                0.34408,                0.81306,              0.0014357,              0.0014357,              0.0014357
                    116,                 0.6418,                 0.3991,                0.82066,                0.99885,                      1,                  0.995,                 0.8963,                0.50407,                0.34985,                0.81535,              0.0014307,              0.0014307,              0.0014307
                    117,                0.59895,                0.38862,                0.81422,                0.99885,                      1,                  0.995,                 0.8963,                0.50407,                0.34985,                0.81535,              0.0014258,              0.0014258,              0.0014258
