                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.57271,                 0.3645,                 0.8531,                0.99406,                  0.986,                0.99442,                0.90794,                 0.4886,                0.30034,                 0.8089,              0.0016634,              0.0016634,              0.0016634
                     70,                0.59504,                0.38814,                0.87539,                0.99296,                0.98687,                0.99384,                0.90118,                0.50964,                0.31381,                0.80986,              0.0016585,              0.0016585,              0.0016585
                     71,                0.58405,                0.37441,                0.86126,                0.98868,                0.99125,                0.99466,                0.90538,                0.48104,                0.30829,                0.80362,              0.0016535,              0.0016535,              0.0016535
                     72,                0.57584,                0.37004,                0.84979,                0.98584,                0.98775,                0.99422,                0.90322,                0.49444,                0.31078,                  0.806,              0.0016485,              0.0016485,              0.0016485
                     73,                0.57638,                0.37145,                0.85827,                0.99031,                 0.9834,                0.99463,                0.89903,                0.48761,                0.30925,                0.80694,              0.0016436,              0.0016436,              0.0016436
                     74,                0.56992,                 0.3711,                0.85857,                 0.9972,                0.98688,                0.99466,                0.91357,                0.46731,                0.29854,                0.80249,              0.0016386,              0.0016386,              0.0016386
                     75,                0.58308,                0.36349,                0.86165,                0.99278,                0.98425,                0.99425,                0.90712,                0.47512,                0.30245,                0.80238,              0.0016337,              0.0016337,              0.0016337
                     76,                0.56701,                 0.3644,                0.85676,                  0.996,                  0.986,                0.99455,                0.91242,                0.47407,                0.29858,                0.80134,              0.0016287,              0.0016287,              0.0016287
                     77,                0.54991,                0.35611,                0.85037,                0.99032,                0.98688,                0.99423,                0.89912,                0.48759,                 0.3089,                0.80399,              0.0016238,              0.0016238,              0.0016238
                     78,                0.58358,                 0.3721,                 0.8556,                0.98865,                0.99038,                0.99446,                0.90351,                0.49314,                0.30823,                 0.8071,              0.0016189,              0.0016189,              0.0016189
                     79,                0.57087,                0.36095,                0.84934,                0.98866,                0.99145,                0.99399,                0.91412,                0.47837,                0.30454,                0.80353,              0.0016139,              0.0016139,              0.0016139
                     80,                 0.5821,                0.36261,                0.85288,                0.98717,                0.99125,                0.99414,                0.90913,                0.48246,                0.30462,                0.80607,              0.0016089,              0.0016089,              0.0016089
                     81,                0.56717,                0.36258,                0.84799,                0.98951,                0.99061,                0.99456,                0.90573,                 0.4851,                0.30974,                0.80573,               0.001604,               0.001604,               0.001604
                     82,                 0.5784,                0.36431,                0.86167,                0.99297,                0.98775,                0.99457,                0.90914,                0.47231,                0.29813,                0.80431,              0.0015991,              0.0015991,              0.0015991
                     83,                0.54384,                0.35076,                0.84657,                0.99036,                0.98888,                0.99445,                 0.9005,                0.49382,                0.30779,                0.80855,              0.0015941,              0.0015941,              0.0015941
                     84,                0.56181,                0.35877,                0.86088,                0.99724,                  0.993,                0.99484,                0.91461,                0.46268,                0.29978,                0.80107,              0.0015892,              0.0015892,              0.0015892
                     85,                0.59259,                0.36746,                0.86411,                0.99122,                0.98821,                0.99461,                0.91132,                 0.4703,                0.29909,                0.80538,              0.0015842,              0.0015842,              0.0015842
                     86,                0.56086,                0.35684,                0.86463,                0.99119,                0.99213,                0.99464,                0.89793,                0.47989,                0.30266,                0.80575,              0.0015793,              0.0015793,              0.0015793
                     87,                0.55285,                0.35732,                0.85855,                0.99307,                0.99213,                0.99439,                0.90649,                0.47836,                0.29815,                0.80412,              0.0015743,              0.0015743,              0.0015743
                     88,                0.56749,                0.36555,                0.84997,                0.98333,                0.98058,                0.99322,                0.89693,                0.49952,                0.32452,                0.80985,              0.0015693,              0.0015693,              0.0015693
                     89,                0.56347,                0.36159,                0.85581,                0.99454,                0.98425,                  0.994,                0.89829,                0.48688,                0.31196,                0.80719,              0.0015644,              0.0015644,              0.0015644
                     90,                0.53977,                0.35175,                0.85367,                0.99609,                0.98688,                0.99467,                0.91603,                0.45598,                0.29193,                0.80026,              0.0015594,              0.0015594,              0.0015594
                     91,                0.57376,                0.36342,                0.86308,                0.99559,                0.98796,                0.99476,                0.91796,                0.46116,                0.29257,                0.79834,              0.0015545,              0.0015545,              0.0015545
                     92,                0.56752,                0.36321,                0.85556,                0.98766,                0.99388,                0.99471,                 0.9203,                  0.463,                0.29499,                0.80138,              0.0015496,              0.0015496,              0.0015496
